Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
0,0.309158, 0.848281, 0.052085, 0.010175,0.991943, 0.969270, 0.353106, 0.047266,0.463798,0.510666,0.480876,0.491879
50,0.011414, 0.091842, 0.060295, 0.021217,0.578159, 0.961287, 0.467168, 0.427756,0.447482,0.358806,0.234947,0.223582
100,0.716429, 0.392276, 0.017526, 0.002035,0.984551, 0.999355, 0.352158, 0.686243,0.478295,0.317712,0.226322,0.196790
150,0.207236, 0.204020, 0.036532, 0.008715,0.806888, 0.965121, 0.552552, 0.476622,0.491358,0.340547,0.241033,0.194331
200,0.045250, 0.543890, 0.020418, 0.003789,0.587005, 0.847974, 0.842537, 0.892354,0.455221,0.328333,0.223011,0.195560
250,0.662361, 0.446190, 0.004065, 0.011430,0.804917, 0.884646, 0.561306, 0.823295,0.461684,0.340624,0.204802,0.173951
300,0.045250, 0.543890, 0.020418, 0.003789,0.636989, 0.973871, 0.179988, 0.971832,0.474784,0.330189,0.204709,0.201531
350,0.670025, 0.213562, 0.002264, 0.005104,0.907029, 0.982650, 0.127611, 0.760496,0.473599,0.323214,0.190238,0.181985
400,0.670025, 0.213562, 0.002264, 0.005104,0.793514, 0.727994, 0.974363, 0.895923,0.465003,0.332368,0.182920,0.184379
450,0.670025, 0.213562, 0.002264, 0.005104,0.472223, 0.994130, 0.936167, 0.203584,0.433103,0.341722,0.175889,0.182448
500,0.670025, 0.213562, 0.002264, 0.005104,0.941393, 0.982087, 0.411055, 0.315219,0.446650,0.339217,0.194843,0.172822
550,0.207236, 0.204020, 0.036532, 0.008715,0.537001, 0.968105, 0.837520, 0.542177,0.464335,0.343729,0.203297,0.197547
600,0.294698, 0.259365, 0.004181, 0.013590,0.921713, 0.937027, 0.023904, 0.907545,0.425780,0.328062,0.189749,0.167814
650,0.294698, 0.259365, 0.004181, 0.013590,0.763160, 0.941144, 0.810681, 0.987307,0.423168,0.332338,0.203084,0.182777
700,0.670025, 0.213562, 0.002264, 0.005104,0.094307, 0.996156, 0.998169, 0.996594,0.433988,0.346626,0.205243,0.169074
750,0.294698, 0.259365, 0.004181, 0.013590,0.787726, 0.878439, 0.835151, 0.841516,0.444260,0.313279,0.201782,0.150390
800,0.207236, 0.204020, 0.036532, 0.008715,0.702009, 0.939279, 0.711941, 0.357462,0.431676,0.331094,0.183227,0.153956
850,0.670025, 0.213562, 0.002264, 0.005104,0.980904, 0.894351, 0.451366, 0.720734,0.423083,0.329195,0.174828,0.176270
900,0.670025, 0.213562, 0.002264, 0.005104,0.920667, 0.962324, 0.897861, 0.753533,0.434910,0.341214,0.181585,0.186040
950,0.294698, 0.259365, 0.004181, 0.013590,0.589661, 0.915439, 0.570905, 0.816370,0.440736,0.328738,0.162491,0.164622
1000,0.045250, 0.543890, 0.020418, 0.003789,0.542467, 0.981836, 0.589746, 0.400088,0.412037,0.336473,0.178752,0.136215
1050,0.776466, 0.130333, 0.017002, 0.012025,0.949062, 0.979195, 0.773078, 0.185870,0.408038,0.339537,0.173976,0.152548
1100,0.639407, 0.048746, 0.012566, 0.010236,0.944536, 0.943153, 0.916535, 0.830332,0.422003,0.319351,0.184683,0.159033
1150,0.144101, 0.347048, 0.031168, 0.003291,0.982143, 0.960387, 0.632915, 0.641796,0.427823,0.308419,0.178289,0.172539
1200,0.670025, 0.213562, 0.002264, 0.005104,0.476989, 0.919691, 0.396474, 0.944299,0.400322,0.309788,0.161244,0.162014
1250,0.670025, 0.213562, 0.002264, 0.005104,0.807192, 0.969489, 0.866403, 0.629210,0.404556,0.308717,0.170386,0.157526
1300,0.294698, 0.259365, 0.004181, 0.013590,0.870010, 0.786801, 0.509065, 0.950664,0.412862,0.316733,0.180059,0.164266
1350,0.670025, 0.213562, 0.002264, 0.005104,0.875226, 0.907237, 0.936700, 0.518520,0.434809,0.326963,0.197269,0.158935
