Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
4500,0.996738, 0.015480, 0.011198, 0.843970,0.841077, 0.002000, 0.094947, 0.943011,0.988858,0.016947,0.017069,0.853327
4600,0.996672, 0.016358, 0.013829, 0.846496,0.900051, 0.109066, 0.093577, 0.946324,0.987048,0.023934,0.018400,0.851436
4700,0.996617, 0.016958, 0.015888, 0.837050,0.900856, 0.046991, 0.046121, 0.771953,0.990961,0.014055,0.016313,0.847621
4800,0.995505, 0.012232, 0.011620, 0.845328,0.950194, 0.002000, 0.002000, 0.875930,0.992839,0.014532,0.016777,0.838669
4900,0.995448, 0.011127, 0.009958, 0.827728,0.939907, 0.091005, 0.115375, 0.844737,0.989255,0.018581,0.017575,0.840798
5000,0.995514, 0.012477, 0.010450, 0.836896,0.902301, 0.071396, 0.002000, 0.816581,0.993182,0.019980,0.022276,0.835814
5100,0.996887, 0.010998, 0.010606, 0.839487,0.902883, 0.143757, 0.002000, 0.737481,0.990325,0.018694,0.017083,0.837545
5200,0.997150, 0.012499, 0.012956, 0.833130,0.922163, 0.053871, 0.043681, 0.935796,0.989385,0.016879,0.021047,0.831028
5300,0.997085, 0.012962, 0.015218, 0.843577,0.949922, 0.002000, 0.092369, 0.892231,0.995322,0.017668,0.020271,0.843669
5400,0.997172, 0.010800, 0.014965, 0.842265,0.948943, 0.002000, 0.048574, 0.796070,0.995725,0.014713,0.017461,0.830478
5500,0.997357, 0.008747, 0.018486, 0.834003,0.954544, 0.146796, 0.125905, 0.737357,0.992985,0.020879,0.017729,0.832971
5600,0.997194, 0.008980, 0.013559, 0.841445,0.898762, 0.130133, 0.002000, 0.788483,0.990850,0.020293,0.017235,0.843732
5700,0.996838, 0.008402, 0.012451, 0.841545,0.913514, 0.076591, 0.002000, 0.816559,0.989968,0.015426,0.016621,0.841206
5800,0.998000, 0.020870, 0.002424, 0.876196,0.921365, 0.060486, 0.054788, 0.924453,0.989718,0.014932,0.017755,0.843657
5900,0.997100, 0.007814, 0.011956, 0.839947,0.927507, 0.060792, 0.105328, 0.796157,0.992782,0.016095,0.023172,0.838002
6000,0.997158, 0.007101, 0.011307, 0.843618,0.930900, 0.002000, 0.148736, 0.963971,0.989522,0.011691,0.017648,0.846989
6100,0.996888, 0.006569, 0.015228, 0.846817,0.953580, 0.102280, 0.010499, 0.788628,0.992918,0.011126,0.017039,0.841457
6200,0.996757, 0.006774, 0.014314, 0.848817,0.905598, 0.074820, 0.098369, 0.769754,0.994612,0.014864,0.018749,0.843848
6300,0.996884, 0.009666, 0.036321, 0.763290,0.904317, 0.054814, 0.197593, 0.831068,0.986983,0.016838,0.026839,0.831127
6400,0.995896, 0.007810, 0.013008, 0.842375,0.941468, 0.087710, 0.019753, 0.907852,0.993934,0.010528,0.020418,0.842037
6500,0.996544, 0.008782, 0.013343, 0.839180,0.902233, 0.002000, 0.179254, 0.874865,0.990614,0.015062,0.020871,0.840181
6600,0.996728, 0.011877, 0.009104, 0.793590,0.952258, 0.187210, 0.009116, 0.864012,0.992126,0.018646,0.020833,0.834545
6700,0.998000, 0.002000, 0.002000, 0.768631,0.957258, 0.096358, 0.002000, 0.931608,0.991428,0.014294,0.011360,0.830528
6800,0.996731, 0.010867, 0.008369, 0.831576,0.931772, 0.041707, 0.091889, 0.746516,0.990920,0.011377,0.013410,0.832245
6900,0.997142, 0.013846, 0.007865, 0.813880,0.946684, 0.098210, 0.038858, 0.870260,0.990216,0.018422,0.013000,0.817912
7000,0.997193, 0.008746, 0.010842, 0.773155,0.907705, 0.090537, 0.002000, 0.833130,0.992969,0.013966,0.013821,0.823212
7100,0.996693, 0.010862, 0.015857, 0.823422,0.899808, 0.067801, 0.077817, 0.900888,0.991298,0.020438,0.017454,0.821333
7200,0.996768, 0.011841, 0.012080, 0.831544,0.906157, 0.077670, 0.097707, 0.809406,0.989097,0.020834,0.019627,0.830175
7300,0.997079, 0.015358, 0.014127, 0.838563,0.916188, 0.002000, 0.083884, 0.730685,0.992217,0.016010,0.022506,0.834278
7400,0.997227, 0.011265, 0.014238, 0.836438,0.857327, 0.085410, 0.122248, 0.739338,0.987176,0.020078,0.022124,0.838170
7500,0.997358, 0.011204, 0.014498, 0.842309,0.905648, 0.106472, 0.111219, 0.859768,0.991663,0.017012,0.015235,0.840459
7600,0.996893, 0.011198, 0.013164, 0.849419,0.898122, 0.076081, 0.054576, 0.898067,0.991559,0.018915,0.019798,0.846457
7700,0.995941, 0.010856, 0.017161, 0.839074,0.938189, 0.027050, 0.052831, 0.791089,0.989394,0.017163,0.020340,0.843815
7800,0.998000, 0.053813, 0.002000, 0.884147,0.933060, 0.129649, 0.074055, 0.904372,0.991985,0.017714,0.020195,0.846538
7900,0.996932, 0.018298, 0.012479, 0.832937,0.911482, 0.019816, 0.097448, 0.912770,0.993242,0.015363,0.018952,0.845273
8000,0.996665, 0.011565, 0.014730, 0.837849,0.897019, 0.002000, 0.143609, 0.937967,0.991446,0.013765,0.020978,0.835927
8100,0.996519, 0.011567, 0.016466, 0.838236,0.912521, 0.094617, 0.055996, 0.758712,0.989124,0.024149,0.019434,0.834660
8200,0.996926, 0.014957, 0.016350, 0.854505,0.905751, 0.002000, 0.081542, 0.824571,0.992495,0.015276,0.019425,0.849192
8300,0.997029, 0.015090, 0.015131, 0.843353,0.867565, 0.122073, 0.092867, 0.838247,0.989683,0.020304,0.016308,0.844682
8400,0.996880, 0.013901, 0.014520, 0.855607,0.968560, 0.122055, 0.096862, 0.919548,0.988736,0.020866,0.015698,0.858324
8500,0.998000, 0.006917, 0.017343, 0.873463,0.923088, 0.002000, 0.087524, 0.741181,0.986928,0.022243,0.019534,0.845191
8600,0.997138, 0.013662, 0.015192, 0.849445,0.979651, 0.071462, 0.208370, 0.806104,0.987696,0.019909,0.020500,0.854841
8700,0.995686, 0.015000, 0.009730, 0.840242,0.955231, 0.002000, 0.099001, 0.837589,0.987107,0.026359,0.021725,0.838332
8800,0.995441, 0.025829, 0.021888, 0.873799,0.904458, 0.028361, 0.081035, 0.819384,0.985131,0.021031,0.026566,0.830057
8900,0.995623, 0.015283, 0.010903, 0.859598,0.889529, 0.017863, 0.002000, 0.874960,0.989190,0.019812,0.019048,0.858694
9000,0.997012, 0.006266, 0.084289, 0.741957,0.904330, 0.079705, 0.172381, 0.923671,0.988238,0.024089,0.023631,0.862015
9100,0.988232, 0.008011, 0.026084, 0.821419,0.885497, 0.028715, 0.089910, 0.841027,0.982808,0.019494,0.019846,0.853293
9200,0.991729, 0.016443, 0.013279, 0.855506,0.920968, 0.107895, 0.095559, 0.682748,0.986384,0.022433,0.022869,0.848209
