Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
0,0.318165, 0.440964, 0.012000, 0.012666,0.786042, 0.993472, 0.883104, 0.170292,0.476136,0.510088,0.478656,0.485835
100,0.248695, 0.255720, 0.016696, 0.021271,0.837493, 0.983003, 0.867611, 0.633711,0.402739,0.310394,0.248641,0.227044
200,0.318165, 0.440964, 0.012000, 0.012666,0.901817, 0.926904, 0.548865, 0.882771,0.423057,0.310999,0.217914,0.181205
300,0.187251, 0.115931, 0.042446, 0.001731,0.686426, 0.882163, 0.823789, 0.603319,0.423295,0.281039,0.227356,0.170999
400,0.206317, 0.200198, 0.005514, 0.006680,0.785022, 0.893406, 0.973012, 0.867072,0.400033,0.309875,0.208546,0.188225
500,0.187251, 0.115931, 0.042446, 0.001731,0.893821, 0.907903, 0.819520, 0.666209,0.409003,0.311857,0.194621,0.172404
600,0.459968, 0.235881, 0.019620, 0.008873,0.786846, 0.818337, 0.741303, 0.885701,0.381172,0.302536,0.210671,0.173962
700,0.641240, 0.013685, 0.010850, 0.008556,0.990807, 0.781995, 0.907281, 0.991941,0.395223,0.282552,0.204180,0.203727
800,0.206317, 0.200198, 0.005514, 0.006680,0.774326, 0.968692, 0.303058, 0.626358,0.364962,0.289888,0.192258,0.172794
900,0.206317, 0.200198, 0.005514, 0.006680,0.867726, 0.955847, 0.716136, 0.745703,0.361219,0.269495,0.200392,0.168042
1000,0.641240, 0.013685, 0.010850, 0.008556,0.608959, 0.843516, 0.213764, 0.921673,0.360798,0.269511,0.193108,0.166459
1100,0.211036, 0.035084, 0.016785, 0.038186,0.975170, 0.882281, 0.669867, 0.885000,0.366045,0.258746,0.201551,0.184580
1200,0.108985, 0.205699, 0.018720, 0.014282,0.823985, 0.958728, 0.289300, 0.698560,0.377718,0.258765,0.190766,0.160072
1300,0.108985, 0.205699, 0.018720, 0.014282,0.913130, 0.984882, 0.956268, 0.839452,0.399977,0.263234,0.176683,0.176660
1400,0.143760, 0.069691, 0.048356, 0.027241,0.862668, 0.913084, 0.769316, 0.849046,0.363376,0.271659,0.175984,0.174860
1500,0.108985, 0.205699, 0.018720, 0.014282,0.634032, 0.871448, 0.729236, 0.984632,0.352776,0.266075,0.174969,0.176261
1600,0.108985, 0.205699, 0.018720, 0.014282,0.611906, 0.969932, 0.822981, 0.691170,0.389916,0.278082,0.174701,0.178849
1700,0.070174, 0.041813, 0.064920, 0.004565,0.911721, 0.973084, 0.529694, 0.435095,0.351347,0.293501,0.193356,0.170521
1800,0.088573, 0.019567, 0.052058, 0.016198,0.646988, 0.900735, 0.617202, 0.775903,0.370342,0.276611,0.175517,0.163971
1900,0.187251, 0.115931, 0.042446, 0.001731,0.797385, 0.741658, 0.826431, 0.991156,0.399146,0.265549,0.175319,0.176548
2000,0.088573, 0.019567, 0.052058, 0.016198,0.949966, 0.971605, 0.035660, 0.818464,0.372624,0.277718,0.171864,0.152480
2100,0.024735, 0.148843, 0.091230, 0.001739,0.387338, 0.932864, 0.981703, 0.890728,0.371315,0.265532,0.177598,0.162656
2200,0.206317, 0.200198, 0.005514, 0.006680,0.855375, 0.962177, 0.636685, 0.666846,0.369275,0.274175,0.157844,0.157491
2300,0.641240, 0.013685, 0.010850, 0.008556,0.751761, 0.956308, 0.859132, 0.600555,0.360794,0.254784,0.194235,0.164814
2400,0.187251, 0.115931, 0.042446, 0.001731,0.403228, 0.949520, 0.512253, 0.917840,0.328414,0.267897,0.186349,0.155520
2500,0.187251, 0.115931, 0.042446, 0.001731,0.994771, 0.922778, 0.423591, 0.718520,0.366015,0.273193,0.167072,0.172309
2600,0.022034, 0.218101, 0.033727, 0.002505,0.511476, 0.968030, 0.906646, 0.228361,0.349344,0.267583,0.171151,0.157973
2700,0.146404, 0.041232, 0.010802, 0.013138,0.623974, 0.984980, 0.503846, 0.773192,0.355597,0.275983,0.168208,0.153157
2800,0.390762, 0.110921, 0.004781, 0.004698,0.818132, 0.810900, 0.916486, 0.778064,0.365220,0.278027,0.197558,0.174300
2900,0.213068, 0.138784, 0.006075, 0.019082,0.989639, 0.995414, 0.890983, 0.131472,0.372242,0.263687,0.186173,0.166284
3000,0.088573, 0.019567, 0.052058, 0.016198,0.780411, 0.940030, 0.981882, 0.806098,0.357528,0.254232,0.192908,0.190716
3100,0.499013, 0.042687, 0.012682, 0.022639,0.543144, 0.938426, 0.790232, 0.889539,0.367131,0.257172,0.188201,0.150504
3200,0.018599, 0.235093, 0.031075, 0.026197,0.094184, 0.997493, 0.853764, 0.884798,0.386657,0.260103,0.168768,0.167778
3300,0.543882, 0.019594, 0.022668, 0.014762,0.679183, 0.969291, 0.617323, 0.923973,0.357103,0.243535,0.174937,0.153819
3400,0.213068, 0.138784, 0.006075, 0.019082,0.877133, 0.891753, 0.423227, 0.816565,0.380167,0.260523,0.186428,0.166442
3500,0.019627, 0.088114, 0.010461, 0.005749,0.921835, 0.870249, 0.978197, 0.825901,0.362068,0.267513,0.170235,0.153538
3600,0.390762, 0.110921, 0.004781, 0.004698,0.786617, 0.920180, 0.294511, 0.815870,0.356920,0.255416,0.168658,0.193360
3700,0.390762, 0.110921, 0.004781, 0.004698,0.473478, 0.965698, 0.939269, 0.628046,0.366733,0.253080,0.160007,0.159857
3800,0.211036, 0.035084, 0.016785, 0.038186,0.584080, 0.912552, 0.808578, 0.744307,0.330693,0.261133,0.181417,0.156790
3900,0.022034, 0.218101, 0.033727, 0.002505,0.630366, 0.914210, 0.869733, 0.747230,0.338533,0.241935,0.166502,0.186494
4000,0.022034, 0.218101, 0.033727, 0.002505,0.796357, 0.899520, 0.632281, 0.722187,0.358365,0.244969,0.180146,0.153767
4100,0.019627, 0.088114, 0.010461, 0.005749,0.915953, 0.961456, 0.838533, 0.956281,0.346001,0.266942,0.188068,0.169546
4200,0.019627, 0.088114, 0.010461, 0.005749,0.729291, 0.985735, 0.949508, 0.907516,0.360093,0.267773,0.179593,0.173033
4300,0.390762, 0.110921, 0.004781, 0.004698,0.405908, 0.999462, 0.697438, 0.789262,0.343130,0.257533,0.178834,0.175723
4400,0.022643, 0.184198, 0.028355, 0.014978,0.957125, 0.958666, 0.571724, 0.349063,0.336892,0.258902,0.176996,0.157236
4500,0.019627, 0.088114, 0.010461, 0.005749,0.741074, 0.965541, 0.576012, 0.754731,0.356736,0.255138,0.184708,0.144028
