Generation, BPA-R, BPA-S, BPA-T, BPA-P, SD-R, SD-S, SD-T, SD-P, AA-R, AA-S, AA-T, AA-P, ABPA-R, ABPA-S, ABPA-T, ABPA-P, Total Score
288501,0.029495, 0.009543, 0.002000, 0.016174,0.064290,0.071969,0.055522,0.027453,0.067265,0.086112,0.041755,0.012508,0.011165,0.032982,0.032444,0.006725,28418539
289001,0.002000, 0.116036, 0.165361, 0.002000,0.080750,0.070667,0.071049,0.022465,0.092116,0.088237,0.094946,0.011202,0.074952,0.040012,0.118136,0.002000,28371879
289501,0.002000, 0.257270, 0.009895, 0.029989,0.060256,0.071835,0.064102,0.021939,0.045888,0.082023,0.078469,0.013187,0.036895,0.152542,0.074363,0.011330,28354111
290001,0.041064, 0.002000, 0.017151, 0.002000,0.072682,0.065710,0.050942,0.017792,0.077120,0.067450,0.052309,0.010566,0.068624,0.002000,0.011218,0.002000,28468156
290501,0.045114, 0.099448, 0.002000, 0.002000,0.072238,0.083864,0.042141,0.019719,0.054478,0.114426,0.053615,0.008574,0.080631,0.069031,0.024915,0.002000,28495847
291001,0.002000, 0.107214, 0.002000, 0.002000,0.073250,0.102346,0.073135,0.034423,0.078580,0.130794,0.068515,0.022005,0.068029,0.122321,0.054631,0.031308,28409783
291501,0.112973, 0.002000, 0.002000, 0.002000,0.082840,0.058197,0.061104,0.020808,0.083159,0.082046,0.055675,0.012110,0.102670,0.059310,0.110946,0.013922,28389925
292001,0.096889, 0.151479, 0.200011, 0.002000,0.097002,0.076000,0.079579,0.026739,0.091479,0.109765,0.092707,0.015960,0.083046,0.168039,0.075800,0.004166,28455866
292501,0.261243, 0.145429, 0.084499, 0.002000,0.074369,0.051184,0.044455,0.025722,0.109490,0.058086,0.037515,0.013034,0.116311,0.110455,0.094468,0.030292,28432891
293001,0.002000, 0.090107, 0.018152, 0.002000,0.097211,0.065594,0.071199,0.024774,0.124508,0.063085,0.082685,0.012714,0.015930,0.081755,0.054769,0.002000,28425478
293501,0.002000, 0.002000, 0.059418, 0.002000,0.074412,0.049653,0.096992,0.035403,0.078968,0.053714,0.095780,0.018131,0.035787,0.058570,0.079910,0.029406,28433189
294001,0.196178, 0.175479, 0.002000, 0.002000,0.130796,0.057260,0.067193,0.026899,0.184306,0.104953,0.068309,0.016428,0.129342,0.103543,0.018206,0.008114,28446019
294501,0.230151, 0.098120, 0.090236, 0.002000,0.069380,0.046509,0.041739,0.020777,0.120497,0.041738,0.048922,0.011498,0.130440,0.096033,0.097363,0.032926,28430385
295001,0.177267, 0.101757, 0.002000, 0.002000,0.085549,0.059100,0.058628,0.028173,0.154999,0.077974,0.069814,0.017019,0.200585,0.093149,0.066951,0.015227,28360484
295501,0.135735, 0.027348, 0.002000, 0.077668,0.081400,0.088771,0.065457,0.031017,0.136711,0.095075,0.073445,0.020434,0.131626,0.044872,0.029645,0.031042,28486643
296001,0.094173, 0.067525, 0.038072, 0.002000,0.084439,0.053810,0.054322,0.017788,0.095986,0.058567,0.046576,0.011623,0.084079,0.031726,0.055369,0.002000,28413214
296501,0.344103, 0.002000, 0.036698, 0.013452,0.104031,0.056289,0.082033,0.035086,0.133952,0.053060,0.074358,0.016726,0.212314,0.004910,0.054288,0.057514,28457946
297001,0.002000, 0.120465, 0.002000, 0.002000,0.054118,0.064159,0.060137,0.026240,0.061509,0.064264,0.054923,0.014333,0.032496,0.053953,0.002000,0.003294,28607986
297501,0.127135, 0.012994, 0.002000, 0.003893,0.072962,0.054113,0.041113,0.037950,0.067071,0.046684,0.035588,0.020421,0.043712,0.012294,0.040665,0.010414,28440210
298001,0.002000, 0.002000, 0.106175, 0.002000,0.070533,0.059184,0.060632,0.029513,0.083880,0.056119,0.070254,0.021717,0.009287,0.042994,0.090864,0.002000,28504186
298501,0.155022, 0.002929, 0.002000, 0.102753,0.075078,0.076137,0.066926,0.031220,0.128322,0.065167,0.057149,0.021324,0.112926,0.027606,0.002000,0.040049,28533626
299001,0.002000, 0.364823, 0.081191, 0.068181,0.069140,0.089548,0.052171,0.018404,0.069611,0.103265,0.052353,0.011997,0.052683,0.198198,0.089235,0.027574,28469996
299501,0.076299, 0.062381, 0.087398, 0.107793,0.093919,0.046784,0.078878,0.030866,0.091496,0.052495,0.071610,0.016251,0.070970,0.093644,0.112653,0.070015,28503382
300001,0.024664, 0.130515, 0.108834, 0.002000,0.096159,0.067220,0.059543,0.026298,0.109895,0.068517,0.061157,0.013416,0.017561,0.060833,0.136157,0.023841,28427666
300501,0.002000, 0.179094, 0.191034, 0.002000,0.106479,0.075794,0.075374,0.026369,0.146125,0.089657,0.118816,0.016724,0.180760,0.156446,0.151122,0.001682,28511013
301001,0.076846, 0.121087, 0.083552, 0.002000,0.082452,0.066425,0.076365,0.029302,0.125741,0.072328,0.129121,0.018596,0.109955,0.109345,0.135507,0.002000,28574355
301501,0.197514, 0.165546, 0.023210, 0.002000,0.082594,0.072828,0.063112,0.011992,0.084623,0.095844,0.070434,0.007270,0.137803,0.056515,0.009070,0.012950,28472071
302001,0.125667, 0.119997, 0.047624, 0.002000,0.083875,0.075408,0.041652,0.021647,0.097577,0.059989,0.048668,0.013171,0.171691,0.111268,0.040812,0.002000,28469570
302501,0.093471, 0.058020, 0.065141, 0.054145,0.070620,0.060623,0.055907,0.031339,0.086079,0.071211,0.049748,0.020086,0.132865,0.023467,0.105832,0.040014,28479074
303001,0.127437, 0.041481, 0.002000, 0.046539,0.052852,0.059084,0.043069,0.018549,0.073550,0.086257,0.039802,0.008020,0.082403,0.075214,0.007484,0.017534,28427173
303501,0.002000, 0.051060, 0.021761, 0.012497,0.053816,0.059429,0.055273,0.022788,0.048972,0.072815,0.067640,0.013129,0.010819,0.048941,0.062948,0.005499,28351566
304001,0.106415, 0.220235, 0.041093, 0.002000,0.076345,0.060487,0.080739,0.032688,0.075831,0.104488,0.125262,0.019325,0.067869,0.139469,0.137542,0.020256,28452336
304501,0.306379, 0.063765, 0.104311, 0.002000,0.090909,0.073958,0.069873,0.024106,0.132085,0.102674,0.109430,0.012681,0.130293,0.091630,0.114897,0.016560,28499438
305001,0.091142, 0.002000, 0.160442, 0.079879,0.074348,0.061733,0.081359,0.022845,0.100888,0.055269,0.125324,0.010739,0.139601,0.055515,0.117468,0.027960,28542658
305501,0.058151, 0.068568, 0.048851, 0.056811,0.091643,0.065686,0.043858,0.022401,0.086758,0.062612,0.040526,0.011577,0.066822,0.052248,0.040229,0.027468,28407695
306001,0.002000, 0.204100, 0.160594, 0.002000,0.075941,0.067499,0.067845,0.009615,0.098247,0.076203,0.066460,0.006275,0.049354,0.183803,0.084419,0.002000,28472034
306501,0.276592, 0.001186, 0.060243, 0.009302,0.078874,0.089615,0.072286,0.019746,0.089776,0.095206,0.100793,0.009801,0.127887,0.097658,0.144807,0.004434,28449982
307001,0.125079, 0.244361, 0.002000, 0.002000,0.085045,0.089752,0.071502,0.025315,0.090295,0.106613,0.090296,0.016214,0.086398,0.187194,0.027430,0.002000,28418694
307501,0.003508, 0.185971, 0.028733, 0.002000,0.096870,0.063304,0.090371,0.027240,0.093621,0.111235,0.088371,0.016942,0.098670,0.143810,0.016433,0.015085,28432734
308001,0.140394, 0.002000, 0.002000, 0.002000,0.053610,0.062325,0.065610,0.024636,0.060089,0.057229,0.078506,0.014937,0.051412,0.041441,0.079617,0.002000,28408185
