Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
4500,0.090882, 0.136759, 0.033539, 0.003377,0.727253, 0.870669, 0.553085, 0.959128,0.393779,0.272275,0.190819,0.177662
4600,0.487157, 0.151462, 0.012182, 0.002854,0.924224, 0.912639, 0.590178, 0.760443,0.395100,0.284050,0.189763,0.179998
4700,0.131720, 0.383350, 0.001001, 0.018291,0.641662, 0.952273, 0.423930, 0.822703,0.332454,0.256538,0.163224,0.164771
4800,0.090600, 0.303928, 0.029464, 0.006473,0.372442, 0.694561, 0.929235, 0.950174,0.353652,0.230800,0.143781,0.155978
4900,0.090882, 0.136759, 0.033539, 0.003377,0.978364, 0.703601, 0.964194, 0.897787,0.348993,0.269471,0.164888,0.162221
5000,0.360317, 0.294140, 0.005369, 0.011371,0.875358, 0.961653, 0.971594, 0.239225,0.388206,0.259013,0.178598,0.160923
5100,0.683789, 0.023541, 0.020838, 0.012209,0.522036, 0.996297, 0.314532, 0.799905,0.384300,0.275208,0.166643,0.160634
5200,0.141989, 0.352363, 0.009677, 0.012195,0.613119, 0.974135, 0.162667, 0.822037,0.367797,0.274593,0.185293,0.174944
5300,0.543524, 0.154560, 0.018168, 0.006041,0.327388, 0.986384, 0.505379, 0.756021,0.349537,0.273749,0.183285,0.164309
5400,0.368412, 0.101662, 0.020262, 0.003027,0.964710, 0.938016, 0.155229, 0.688824,0.401925,0.235696,0.155047,0.136887
5500,0.018647, 0.059449, 0.022046, 0.012048,0.704876, 0.942516, 0.649713, 0.991298,0.383308,0.263847,0.167256,0.149038
5600,0.098899, 0.066365, 0.022364, 0.023684,0.453852, 0.951813, 0.828733, 0.178757,0.400596,0.270646,0.146413,0.170859
5700,0.388034, 0.043900, 0.012076, 0.026167,0.786022, 0.991979, 0.267124, 0.591874,0.369534,0.254290,0.181557,0.151944
5800,0.555143, 0.008390, 0.013077, 0.026810,0.941645, 0.990245, 0.624884, 0.563293,0.392430,0.271740,0.182617,0.155878
