Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
0,0.024051, 0.008459, 0.015477, 0.011242,0.985558, 0.993040, 0.914119, 0.960462,0.530989,0.521262,0.471168,0.513503
50,0.997143, 0.332720, 0.507444, 0.568286,0.902706, 0.305742, 0.632213, 0.648128,0.986525,0.287438,0.532407,0.537485
100,0.997383, 0.275634, 0.465757, 0.632213,0.935275, 0.289145, 0.515150, 0.558763,0.990678,0.282155,0.456167,0.606843
150,0.998000, 0.002000, 0.104601, 0.524833,0.901554, 0.070158, 0.191336, 0.708272,0.983477,0.123161,0.187116,0.730758
200,0.996043, 0.046084, 0.073209, 0.780518,0.941136, 0.203057, 0.180848, 0.858331,0.991697,0.049034,0.080623,0.805471
250,0.997279, 0.040901, 0.049123, 0.813865,0.926368, 0.147357, 0.226064, 0.893398,0.993480,0.040531,0.053971,0.813922
300,0.997184, 0.026920, 0.047219, 0.817458,0.907102, 0.025747, 0.092670, 0.795006,0.989754,0.031369,0.045307,0.817615
350,0.998000, 0.002000, 0.002000, 0.918149,0.898505, 0.009856, 0.116082, 0.821509,0.994071,0.029292,0.044333,0.814341
400,0.997415, 0.028279, 0.041805, 0.817096,0.922624, 0.002000, 0.095098, 0.842902,0.991355,0.026876,0.040989,0.826811
450,0.998000, 0.002000, 0.007864, 0.905972,0.961743, 0.002000, 0.135930, 0.825054,0.995091,0.022138,0.040509,0.852630
500,0.997473, 0.019499, 0.031504, 0.862308,0.907409, 0.002000, 0.098716, 0.926869,0.991792,0.021154,0.034188,0.864392
550,0.997657, 0.017048, 0.034842, 0.864318,0.923618, 0.002000, 0.082023, 0.862106,0.993994,0.025282,0.027533,0.846820
600,0.997728, 0.020629, 0.021896, 0.853006,0.913737, 0.002000, 0.015766, 0.977223,0.992490,0.019663,0.024144,0.856500
650,0.997805, 0.020532, 0.018913, 0.875001,0.923963, 0.222073, 0.124271, 0.775219,0.986361,0.025470,0.029454,0.864758
700,0.997801, 0.015813, 0.015206, 0.891773,0.904137, 0.050094, 0.177127, 0.916557,0.991875,0.021054,0.022639,0.875549
750,0.997806, 0.014870, 0.014243, 0.875894,0.972225, 0.078551, 0.002000, 0.778283,0.997197,0.017061,0.018441,0.869011
800,0.997742, 0.014372, 0.019360, 0.881388,0.933652, 0.002000, 0.011901, 0.886081,0.993723,0.017367,0.017381,0.879087
850,0.997291, 0.014090, 0.016429, 0.890827,0.916094, 0.033054, 0.074340, 0.895110,0.988880,0.017534,0.023703,0.895390
900,0.996170, 0.012278, 0.014336, 0.899617,0.915107, 0.052775, 0.002000, 0.818670,0.992254,0.016326,0.022610,0.898013
950,0.996296, 0.012249, 0.015293, 0.908218,0.998000, 0.164116, 0.089760, 0.825173,0.990842,0.022692,0.020805,0.908030
1000,0.996483, 0.012090, 0.016436, 0.902246,0.901696, 0.038588, 0.105996, 0.998000,0.991060,0.017627,0.024918,0.878575
1050,0.996636, 0.010695, 0.015969, 0.898935,0.949518, 0.083980, 0.102941, 0.798988,0.990979,0.018572,0.021182,0.898246
1100,0.996307, 0.010615, 0.015058, 0.895131,0.923681, 0.095654, 0.101205, 0.846806,0.989271,0.015487,0.018740,0.891528
1150,0.996154, 0.010486, 0.015526, 0.899645,0.995665, 0.002000, 0.090386, 0.981478,0.991166,0.014571,0.017883,0.896899
1200,0.996423, 0.009513, 0.013725, 0.893114,0.917122, 0.002000, 0.090138, 0.979150,0.988971,0.013447,0.024224,0.891906
1250,0.996551, 0.009585, 0.016521, 0.896862,0.899777, 0.002000, 0.085907, 0.941868,0.985376,0.012959,0.020099,0.894635
1300,0.996738, 0.010016, 0.018143, 0.897943,0.923454, 0.011370, 0.095545, 0.781710,0.990215,0.016776,0.025335,0.891596
1350,0.996469, 0.010761, 0.016927, 0.895685,0.905917, 0.073536, 0.078029, 0.874280,0.987706,0.015713,0.020254,0.894081
1400,0.998000, 0.065678, 0.002000, 0.972564,0.911319, 0.002000, 0.101871, 0.849972,0.985184,0.019148,0.023250,0.890654
1450,0.996575, 0.009680, 0.014968, 0.902243,0.956765, 0.196627, 0.048402, 0.903890,0.988438,0.014915,0.022118,0.901926
1500,0.996776, 0.008548, 0.015230, 0.905993,0.922865, 0.002000, 0.138636, 0.892868,0.990382,0.017634,0.022938,0.903384
1550,0.989998, 0.013124, 0.016443, 0.897617,0.960276, 0.130886, 0.069283, 0.803142,0.988306,0.015209,0.026448,0.896198
1600,0.994257, 0.008871, 0.012180, 0.888188,0.926515, 0.002000, 0.188623, 0.855934,0.983447,0.015439,0.023662,0.896394
1650,0.995050, 0.009254, 0.012785, 0.877454,0.905082, 0.026854, 0.114082, 0.939937,0.989445,0.018218,0.023866,0.871633
1700,0.994883, 0.011101, 0.014677, 0.878243,0.910899, 0.019741, 0.150778, 0.714466,0.992358,0.013656,0.021119,0.875550
1750,0.998000, 0.002000, 0.002000, 0.919842,0.906058, 0.020485, 0.191460, 0.782019,0.986482,0.019037,0.018405,0.872384
1800,0.996659, 0.009030, 0.009269, 0.937199,0.907233, 0.078215, 0.067669, 0.864171,0.991723,0.018272,0.016676,0.875464
1850,0.996158, 0.010842, 0.038689, 0.891411,0.900569, 0.032414, 0.112709, 0.808527,0.989063,0.017911,0.028994,0.879203
1900,0.995798, 0.011246, 0.016865, 0.883538,0.906320, 0.002000, 0.026611, 0.921662,0.991610,0.015651,0.020593,0.875019
1950,0.996332, 0.010369, 0.018146, 0.866883,0.944098, 0.080720, 0.081358, 0.927268,0.993761,0.017788,0.021720,0.860223
2000,0.996493, 0.010463, 0.016688, 0.873045,0.941424, 0.159888, 0.002000, 0.874115,0.991726,0.015603,0.020318,0.876037
2050,0.996167, 0.013253, 0.016177, 0.875953,0.919693, 0.101158, 0.132088, 0.794402,0.986511,0.016556,0.024785,0.871960
