Generation, BPA-R, BPA-S, BPA-T, BPA-P, SD-R, SD-S, SD-T, SD-P, AA-R, AA-S, AA-T, AA-P, ABPA-R, ABPA-S, ABPA-T, ABPA-P,Total Score
520501,0.200049, 0.125557, 0.153588, 0.002000,0.072709,0.067966,0.097676,0.019477,0.073587,0.082605,0.099787,0.010211,0.136102,0.068050,0.097443,0.003327,28464300
521001,0.091014, 0.134814, 0.070934, 0.002000,0.104947,0.066844,0.051127,0.031232,0.120694,0.071381,0.052547,0.018126,0.142533,0.046271,0.024978,0.002000,28402892
521501,0.007935, 0.077690, 0.096466, 0.002000,0.070442,0.064827,0.062232,0.024439,0.098909,0.051034,0.104463,0.015208,0.107047,0.058273,0.128342,0.017977,28420778
522001,0.061277, 0.203176, 0.259374, 0.011318,0.048357,0.070558,0.066855,0.011922,0.066283,0.069415,0.075711,0.009733,0.116548,0.075071,0.097283,0.013480,28493250
522501,0.146444, 0.015272, 0.123504, 0.002000,0.103622,0.055442,0.076426,0.024084,0.111636,0.054475,0.087963,0.012942,0.105081,0.039082,0.086594,0.036777,28372843
523001,0.002000, 0.041976, 0.027641, 0.002000,0.065463,0.065401,0.081916,0.027082,0.066513,0.073394,0.099609,0.013714,0.005121,0.069338,0.098734,0.002000,28352492
523501,0.072532, 0.156253, 0.092670, 0.002000,0.094339,0.081660,0.066558,0.030485,0.105552,0.088814,0.098566,0.017387,0.039154,0.099279,0.125120,0.001950,28447018
524001,0.055753, 0.011414, 0.002000, 0.015277,0.090498,0.082663,0.055828,0.015629,0.137963,0.082300,0.067556,0.007970,0.143638,0.053122,0.062835,0.006426,28496086
524501,0.045821, 0.002000, 0.055751, 0.064791,0.070071,0.065697,0.065891,0.034115,0.074925,0.070679,0.077128,0.026490,0.065307,0.080127,0.060574,0.035634,28492201
525001,0.263481, 0.002000, 0.011520, 0.002000,0.099751,0.057454,0.065685,0.026125,0.085348,0.066540,0.081632,0.012867,0.115954,0.046888,0.050642,0.022194,28488465
525501,0.030639, 0.029015, 0.198913, 0.002000,0.078970,0.061678,0.081924,0.021090,0.107137,0.057902,0.095508,0.012286,0.089788,0.023080,0.099550,0.002000,28423539
526001,0.128074, 0.085651, 0.049972, 0.086581,0.086077,0.052340,0.089140,0.032510,0.119748,0.064535,0.084000,0.020006,0.134436,0.055133,0.134060,0.035142,28432251
526501,0.170704, 0.034328, 0.015202, 0.084381,0.067943,0.063567,0.083110,0.038647,0.109898,0.054695,0.092526,0.022729,0.092342,0.030444,0.042935,0.029460,28439320
527001,0.090826, 0.102476, 0.002000, 0.002000,0.066932,0.062921,0.063192,0.025152,0.111346,0.077613,0.068525,0.010660,0.153397,0.073147,0.015603,0.002005,28434704
527501,0.069347, 0.125710, 0.002000, 0.002000,0.056791,0.081884,0.068445,0.024906,0.076895,0.110187,0.066731,0.014795,0.047869,0.067008,0.133501,0.002000,28403932
528001,0.128549, 0.054079, 0.002000, 0.002000,0.132326,0.089677,0.066247,0.030342,0.141947,0.091194,0.064533,0.011495,0.130980,0.055372,0.034912,0.002241,28477570
528501,0.002000, 0.044942, 0.078774, 0.002000,0.042827,0.063517,0.046622,0.019245,0.038996,0.050284,0.049198,0.010112,0.002000,0.056052,0.042781,0.002000,28405087
529001,0.013505, 0.057046, 0.052203, 0.040984,0.089614,0.083546,0.051049,0.023299,0.138639,0.102606,0.057080,0.011536,0.074681,0.030435,0.058921,0.021468,28444882
529501,0.109724, 0.002000, 0.001133, 0.002000,0.057342,0.071820,0.063088,0.012601,0.053264,0.095389,0.093993,0.007485,0.106504,0.056488,0.073415,0.002000,28416021
530001,0.195361, 0.126025, 0.002000, 0.092745,0.083776,0.039840,0.059346,0.027261,0.113860,0.033938,0.051746,0.015109,0.114172,0.099888,0.002000,0.049552,28327073
