Generation, BPA-R, BPA-S, BPA-T, BPA-P, SD-R, SD-S, SD-T, SD-P, AA-R, AA-S, AA-T, AA-P, ABPA-R, ABPA-S, ABPA-T, ABPA-P,Total Score
1,0.551811, 0.384210, 0.529831, 0.477326,0.307575,0.378981,0.374596,0.329704,0.278910,0.380050,0.373826,0.542368,0.348465,0.506776,0.561625,0.438039,125618
501,0.160270, 0.158214, 0.218904, 0.002000,0.057748,0.076385,0.088160,0.025450,0.070324,0.096017,0.129070,0.014911,0.134944,0.109648,0.180726,0.034323,28878242
1001,0.066105, 0.200964, 0.086418, 0.002000,0.096052,0.060189,0.083264,0.015772,0.123429,0.062522,0.091055,0.009005,0.076038,0.080099,0.043858,0.002000,28438472
1501,0.114510, 0.002000, 0.136654, 0.002000,0.061226,0.079975,0.064076,0.021172,0.065254,0.089701,0.091724,0.010707,0.087054,0.118818,0.096107,0.002000,28387837
2001,0.002000, 0.055756, 0.106940, 0.002000,0.079583,0.050600,0.052442,0.029279,0.099903,0.050386,0.060103,0.019221,0.038614,0.041669,0.071458,0.002000,28366392
2501,0.020235, 0.024649, 0.089922, 0.002000,0.059806,0.083367,0.041529,0.032100,0.056954,0.078392,0.059686,0.023490,0.008078,0.037564,0.087227,0.002000,28422435
3001,0.091799, 0.135504, 0.081077, 0.002000,0.082448,0.090451,0.050663,0.016297,0.088952,0.068300,0.062651,0.010212,0.104048,0.046501,0.072759,0.003095,28447643
3501,0.068165, 0.064154, 0.111549, 0.090508,0.110069,0.053146,0.056455,0.024802,0.123036,0.063122,0.057967,0.012178,0.075846,0.068109,0.128911,0.031503,28463607
4001,0.141370, 0.248160, 0.087194, 0.002000,0.067439,0.086993,0.057543,0.025205,0.085427,0.105433,0.049679,0.012636,0.108503,0.179198,0.046221,0.003626,28443433
4501,0.196060, 0.140381, 0.064150, 0.002000,0.069259,0.073694,0.056336,0.022174,0.082063,0.066725,0.053596,0.011598,0.066687,0.099135,0.053501,0.002000,28397483
5001,0.093531, 0.002000, 0.186032, 0.010356,0.064238,0.056741,0.060019,0.020327,0.076198,0.056127,0.065100,0.011814,0.076780,0.038774,0.086643,0.004785,28512574
5501,0.002000, 0.169080, 0.017262, 0.002000,0.079697,0.072123,0.076332,0.020504,0.092367,0.062885,0.100457,0.009163,0.050584,0.072508,0.008448,0.002000,28418362
6001,0.109062, 0.002000, 0.034245, 0.002000,0.060307,0.052896,0.054978,0.013050,0.054900,0.055335,0.048313,0.007904,0.123781,0.028898,0.077946,0.002000,28411204
6501,0.093437, 0.009110, 0.155323, 0.002000,0.078954,0.076313,0.068575,0.019598,0.113331,0.067729,0.107211,0.009786,0.051792,0.067408,0.163055,0.002000,28414371
7001,0.215528, 0.157160, 0.067569, 0.158235,0.076997,0.072474,0.071790,0.036578,0.085077,0.082714,0.081342,0.016939,0.107232,0.082239,0.083543,0.054078,28437416
7501,0.136335, 0.170058, 0.188691, 0.002000,0.086078,0.082868,0.074974,0.019569,0.092863,0.095600,0.100235,0.011452,0.074174,0.141281,0.113713,0.002000,28375505
8001,0.093932, 0.002000, 0.075055, 0.002000,0.070750,0.068433,0.061240,0.023683,0.096541,0.081724,0.061167,0.016911,0.118111,0.010002,0.082773,0.016196,28350428
8501,0.002000, 0.002000, 0.045863, 0.002000,0.082663,0.059215,0.078933,0.021457,0.083776,0.074353,0.102781,0.011171,0.004721,0.062018,0.112759,0.002000,28333938
9001,0.043787, 0.225235, 0.002000, 0.002000,0.073626,0.083784,0.058092,0.027481,0.074814,0.095431,0.051563,0.017126,0.025044,0.119325,0.003375,0.005933,28450765
9501,0.002000, 0.002703, 0.092670, 0.002000,0.080584,0.062360,0.054311,0.017152,0.086501,0.060585,0.053467,0.008793,0.084537,0.006140,0.046346,0.008267,28494070
10001,0.073030, 0.064646, 0.002000, 0.002000,0.059799,0.080853,0.060615,0.022573,0.068570,0.117992,0.054261,0.010723,0.036118,0.107958,0.012797,0.003490,28460345
10501,0.034405, 0.009078, 0.083693, 0.050995,0.054303,0.066501,0.060296,0.030879,0.071449,0.076925,0.062391,0.021017,0.069596,0.064054,0.061116,0.024944,28535015
11001,0.209011, 0.002000, 0.077076, 0.002000,0.071787,0.067144,0.071070,0.031213,0.099546,0.054036,0.072525,0.015935,0.111090,0.002000,0.090706,0.020477,28457663
11501,0.043725, 0.162932, 0.002000, 0.126216,0.056046,0.065711,0.086875,0.032378,0.052410,0.051565,0.083735,0.020607,0.015908,0.157821,0.033479,0.071550,28387521
12001,0.171414, 0.099856, 0.092780, 0.002000,0.078746,0.052397,0.060553,0.021284,0.074833,0.051880,0.056174,0.011878,0.100500,0.079396,0.032260,0.002000,28397416
12501,0.002000, 0.056863, 0.149974, 0.002000,0.080885,0.057176,0.050931,0.023140,0.103617,0.042920,0.048823,0.012901,0.097114,0.035595,0.053476,0.002000,28436592
13001,0.030888, 0.321807, 0.002000, 0.002000,0.091410,0.083621,0.060450,0.025023,0.127792,0.118081,0.067667,0.015158,0.147632,0.154317,0.048819,0.020346,28401765
13501,0.003227, 0.188358, 0.100545, 0.002000,0.102403,0.077972,0.063155,0.016576,0.137186,0.076437,0.107474,0.010580,0.050032,0.169592,0.083818,0.022197,28451671
14001,0.301041, 0.002000, 0.138237, 0.093139,0.086315,0.091914,0.061917,0.024985,0.132811,0.093068,0.068527,0.015787,0.174509,0.033809,0.138108,0.036843,28527229
14501,0.156101, 0.022859, 0.009616, 0.002000,0.065683,0.057676,0.056185,0.026164,0.085195,0.075812,0.051833,0.013203,0.085691,0.056028,0.035873,0.006745,28493311
15001,0.019338, 0.019656, 0.018560, 0.002000,0.064713,0.066391,0.067556,0.019104,0.072146,0.085641,0.095776,0.012048,0.026962,0.046800,0.089653,0.002000,28519408
15501,0.002000, 0.155915, 0.090559, 0.002000,0.072257,0.086373,0.059791,0.026784,0.074149,0.119314,0.099770,0.015159,0.063151,0.137725,0.082848,0.031641,28523265
16001,0.014194, 0.058179, 0.001129, 0.002000,0.063656,0.047060,0.029988,0.024622,0.065276,0.055747,0.027677,0.014169,0.034549,0.069640,0.013359,0.001685,28414055
16501,0.182944, 0.051310, 0.071990, 0.002000,0.110605,0.074588,0.056843,0.009542,0.091488,0.088969,0.068905,0.005831,0.074140,0.078189,0.077721,0.002000,28406327
17001,0.132952, 0.002000, 0.171537, 0.002000,0.057005,0.073263,0.077022,0.020671,0.068233,0.071597,0.079422,0.011742,0.139111,0.030973,0.121910,0.002000,28477000
17501,0.185133, 0.025719, 0.174492, 0.002000,0.093254,0.067587,0.090983,0.030080,0.134519,0.070445,0.133144,0.017806,0.110418,0.071774,0.127193,0.002087,28404188
18001,0.002000, 0.002000, 0.002000, 0.002000,0.069183,0.071815,0.071898,0.019541,0.063786,0.094280,0.096634,0.011034,0.064157,0.107321,0.081723,0.002000,28482127
18501,0.039302, 0.091018, 0.002000, 0.044522,0.058220,0.088422,0.061623,0.015156,0.063448,0.088788,0.055592,0.009415,0.083802,0.112310,0.005778,0.016396,28357004
19001,0.099340, 0.039583, 0.282790, 0.002000,0.063519,0.049484,0.073199,0.017677,0.065277,0.052278,0.077254,0.010484,0.073429,0.054856,0.137860,0.002000,28427775
19501,0.016384, 0.159941, 0.148475, 0.002000,0.073385,0.067116,0.060009,0.019628,0.068349,0.073706,0.063060,0.010846,0.026956,0.147951,0.056804,0.011221,28427700
20001,0.070282, 0.002000, 0.082639, 0.002000,0.082982,0.093356,0.060539,0.027279,0.089416,0.116624,0.093824,0.015793,0.038163,0.058661,0.108727,0.028773,28475568
20501,0.015065, 0.052191, 0.100698, 0.002000,0.073646,0.049818,0.063484,0.020891,0.093133,0.064651,0.071925,0.011463,0.049702,0.044743,0.038503,0.002000,28507173
21001,0.229932, 0.172333, 0.062450, 0.013141,0.095538,0.057587,0.056922,0.022648,0.145175,0.077574,0.051109,0.012562,0.132913,0.071340,0.064841,0.005714,28405199
21501,0.171457, 0.016252, 0.090504, 0.002000,0.089176,0.051365,0.056818,0.028072,0.084343,0.069143,0.060531,0.014468,0.076842,0.044366,0.040968,0.002000,28417682
22001,0.002000, 0.002000, 0.038367, 0.002000,0.094908,0.061606,0.045114,0.024315,0.100164,0.069103,0.046460,0.019086,0.072659,0.002000,0.015327,0.017968,28466306
22501,0.018295, 0.050783, 0.091638, 0.002000,0.112294,0.068722,0.054762,0.035251,0.143528,0.093805,0.063718,0.020736,0.055421,0.073146,0.038660,0.011671,28526845
23001,0.002000, 0.100963, 0.081564, 0.046293,0.094129,0.066851,0.090072,0.025709,0.102193,0.085490,0.091316,0.015953,0.071810,0.136526,0.042160,0.016764,28511466
23501,0.024678, 0.007742, 0.002000, 0.029588,0.084842,0.065076,0.096225,0.019738,0.127348,0.081705,0.090877,0.010617,0.118941,0.114654,0.005178,0.013651,28455402
24001,0.215473, 0.077958, 0.109707, 0.002000,0.084011,0.063051,0.062093,0.027026,0.126511,0.073791,0.082053,0.016581,0.173269,0.131695,0.104040,0.026676,28420871
24501,0.286185, 0.172871, 0.006965, 0.002000,0.112645,0.075739,0.073172,0.030758,0.134457,0.092568,0.086361,0.021189,0.157323,0.119680,0.026724,0.016555,28526717
25001,0.179904, 0.065049, 0.002000, 0.002000,0.074487,0.078476,0.065750,0.028218,0.146703,0.082916,0.055924,0.017891,0.123315,0.043547,0.023616,0.019745,28533607
25501,0.064961, 0.002000, 0.002000, 0.099169,0.066959,0.056724,0.065065,0.023657,0.083727,0.054993,0.061566,0.012475,0.077370,0.016021,0.089509,0.034390,28467581
26001,0.002000, 0.153799, 0.193791, 0.002000,0.091106,0.066272,0.085818,0.017567,0.102039,0.082809,0.111953,0.012376,0.067945,0.074327,0.101272,0.006885,28417768
26501,0.188165, 0.006724, 0.002000, 0.002000,0.097635,0.062529,0.068013,0.036347,0.159400,0.061309,0.057075,0.015015,0.212635,0.024351,0.034024,0.002000,28501091
27001,0.260946, 0.061102, 0.044639, 0.004209,0.107018,0.066813,0.094342,0.022219,0.134358,0.062695,0.069526,0.011109,0.218112,0.081789,0.039006,0.010489,28461352
27501,0.002000, 0.082818, 0.002000, 0.002000,0.076160,0.070759,0.067299,0.019334,0.092631,0.078706,0.081043,0.008884,0.142272,0.041124,0.104301,0.002000,28386039
28001,0.236213, 0.135579, 0.001708, 0.002000,0.078060,0.060738,0.067873,0.020885,0.110622,0.070184,0.074994,0.010208,0.120744,0.119442,0.108433,0.012284,28441164
28501,0.113508, 0.102103, 0.054533, 0.053206,0.061517,0.066447,0.083786,0.025270,0.071723,0.102555,0.110266,0.018255,0.126356,0.114353,0.041662,0.033571,28486067
29001,0.014967, 0.070988, 0.002000, 0.002000,0.070508,0.070001,0.053584,0.020126,0.077163,0.090401,0.058625,0.012262,0.032761,0.116057,0.030796,0.019143,28337483
29501,0.137587, 0.110427, 0.002000, 0.002000,0.062220,0.061754,0.072373,0.013121,0.086965,0.080053,0.069768,0.004842,0.104391,0.139959,0.022620,0.003293,28424771
30001,0.304187, 0.138639, 0.021614, 0.002000,0.079310,0.067386,0.070365,0.015373,0.112991,0.077974,0.058952,0.008443,0.193225,0.083953,0.041034,0.002000,28445694
30501,0.031255, 0.033671, 0.184863, 0.070650,0.051472,0.057026,0.066005,0.030723,0.039854,0.067941,0.078351,0.019954,0.047788,0.066627,0.093006,0.046026,28511921
31001,0.129061, 0.002000, 0.002000, 0.002000,0.069573,0.074425,0.071708,0.020994,0.093474,0.098669,0.092008,0.011139,0.133500,0.036820,0.051300,0.002000,28389276
31501,0.056747, 0.062971, 0.081806, 0.007179,0.064814,0.055344,0.074141,0.027508,0.073758,0.063382,0.083836,0.017382,0.062743,0.088468,0.100411,0.003726,28462337
32001,0.116344, 0.050564, 0.092528, 0.071946,0.080399,0.064152,0.058948,0.017136,0.134874,0.059986,0.110482,0.012293,0.135097,0.088945,0.139505,0.035037,28497441
32501,0.108478, 0.116399, 0.140686, 0.002000,0.094197,0.050092,0.074961,0.021591,0.125225,0.057372,0.083764,0.009605,0.138934,0.087654,0.142994,0.002000,28471782
33001,0.093437, 0.062186, 0.062599, 0.002000,0.083710,0.050485,0.078001,0.033485,0.134070,0.047144,0.090972,0.017317,0.140074,0.022062,0.038035,0.005711,28423152
33501,0.002000, 0.099845, 0.023977, 0.020228,0.062371,0.057393,0.062959,0.025822,0.077208,0.076210,0.058477,0.013677,0.074106,0.053077,0.016489,0.040902,28474827
34001,0.002000, 0.119379, 0.216671, 0.002000,0.067697,0.067907,0.086859,0.025997,0.089132,0.070194,0.106249,0.013869,0.092383,0.073662,0.075430,0.002000,28466582
34501,0.155119, 0.034754, 0.084710, 0.018058,0.061672,0.083764,0.053220,0.021099,0.073477,0.093557,0.061231,0.009812,0.140066,0.012918,0.044160,0.011492,28427454
35001,0.136306, 0.073992, 0.031567, 0.002000,0.089461,0.071994,0.064126,0.020788,0.141624,0.096680,0.079820,0.009992,0.100234,0.075008,0.068531,0.004035,28428537
35501,0.002000, 0.002000, 0.008052, 0.002000,0.079673,0.063622,0.055859,0.022300,0.073941,0.063143,0.073328,0.011886,0.031641,0.053764,0.093095,0.002000,28390471
36001,0.200747, 0.002000, 0.002000, 0.002000,0.119759,0.076424,0.081347,0.026385,0.160264,0.078591,0.076800,0.017538,0.122524,0.101658,0.067521,0.027171,28415876
36501,0.194290, 0.002000, 0.002000, 0.007991,0.066128,0.079701,0.051825,0.028698,0.075927,0.077441,0.041950,0.015373,0.081352,0.117294,0.034865,0.003997,28498355
37001,0.002000, 0.002000, 0.134590, 0.030330,0.067827,0.082420,0.082213,0.015905,0.072087,0.100414,0.093414,0.010611,0.008287,0.115879,0.092809,0.014420,28470070
37501,0.207506, 0.028079, 0.050405, 0.011333,0.088444,0.074252,0.065095,0.011089,0.117384,0.079360,0.069787,0.007737,0.181533,0.044974,0.071602,0.014119,28433983
38001,0.032587, 0.002000, 0.061359, 0.002000,0.088657,0.096898,0.055480,0.029296,0.139201,0.102563,0.057839,0.022034,0.101983,0.069707,0.051433,0.002000,28384295
38501,0.094272, 0.002000, 0.002000, 0.002000,0.076233,0.093051,0.066375,0.015438,0.089684,0.083922,0.066589,0.008684,0.185185,0.086966,0.027490,0.002000,28497086
39001,0.007003, 0.002000, 0.089456, 0.002000,0.082959,0.070267,0.073722,0.012789,0.072032,0.089252,0.074480,0.006760,0.055047,0.051145,0.056192,0.016829,28438932
39501,0.037583, 0.002000, 0.002000, 0.002000,0.065869,0.060934,0.047767,0.021306,0.084221,0.046891,0.039135,0.009772,0.072349,0.009932,0.004006,0.007885,28446926
40001,0.066957, 0.063097, 0.002000, 0.002000,0.060538,0.047312,0.065595,0.018766,0.080954,0.043584,0.062261,0.008581,0.118942,0.022366,0.002000,0.002000,28455567
40501,0.044021, 0.088487, 0.081069, 0.111485,0.071085,0.067960,0.082594,0.025924,0.089860,0.080770,0.083281,0.017647,0.114058,0.085009,0.061231,0.046546,28401117
41001,0.159806, 0.013307, 0.075957, 0.002000,0.073024,0.050011,0.050131,0.021240,0.076142,0.051698,0.069242,0.010972,0.084311,0.073472,0.066652,0.008996,28376629
41501,0.370487, 0.205778, 0.002000, 0.002000,0.094406,0.073417,0.059553,0.020728,0.113537,0.089033,0.068998,0.012929,0.138365,0.152445,0.010150,0.002000,28404228
42001,0.068553, 0.056706, 0.147571, 0.072136,0.056124,0.051243,0.074692,0.017142,0.063001,0.077147,0.065279,0.008524,0.029971,0.020235,0.090523,0.025379,28385960
42501,0.073927, 0.049066, 0.020253, 0.002000,0.060356,0.071695,0.078359,0.027734,0.081010,0.074626,0.067796,0.011492,0.115055,0.036380,0.042610,0.002000,28432307
43001,0.048959, 0.002000, 0.003627, 0.002000,0.071859,0.070062,0.051513,0.021402,0.121211,0.070270,0.056450,0.012013,0.025423,0.075491,0.036591,0.006077,28457642
43501,0.083993, 0.011355, 0.002000, 0.002000,0.061468,0.075299,0.084359,0.031703,0.065853,0.067518,0.078190,0.018540,0.063677,0.032110,0.121944,0.048353,28418977
44001,0.116366, 0.061558, 0.039507, 0.062067,0.079725,0.062619,0.061745,0.028796,0.131255,0.081225,0.070638,0.019069,0.045135,0.102599,0.019984,0.033431,28448186
44501,0.036043, 0.092168, 0.248541, 0.002000,0.057887,0.053353,0.062345,0.023552,0.077296,0.052439,0.060924,0.012476,0.033922,0.055531,0.144748,0.004560,28488750
45001,0.194503, 0.104368, 0.083258, 0.002000,0.102427,0.078942,0.065574,0.020006,0.139709,0.068775,0.068797,0.013117,0.145528,0.109771,0.057533,0.015379,28365752
45501,0.041298, 0.133611, 0.040678, 0.002000,0.078364,0.084968,0.082185,0.024194,0.079488,0.083875,0.070813,0.011696,0.052950,0.122030,0.067709,0.002000,28472440
46001,0.169040, 0.002000, 0.042287, 0.002000,0.063401,0.052611,0.083810,0.017175,0.111174,0.064293,0.073964,0.007451,0.061591,0.072818,0.064270,0.005546,28439289
46501,0.083662, 0.075802, 0.029985, 0.026531,0.092300,0.083682,0.077072,0.023015,0.110322,0.076304,0.110208,0.014115,0.041927,0.078881,0.063949,0.014302,28375718
47001,0.033840, 0.002000, 0.002000, 0.002000,0.046911,0.051270,0.055275,0.006906,0.063107,0.040062,0.073927,0.004419,0.097348,0.002000,0.095713,0.002000,28408070
47501,0.110659, 0.209893, 0.002000, 0.002000,0.084798,0.065288,0.066857,0.029999,0.088848,0.079563,0.052264,0.015845,0.097184,0.121456,0.064568,0.002379,28476265
48001,0.103261, 0.002000, 0.079158, 0.002000,0.083764,0.078903,0.063795,0.031187,0.128933,0.078487,0.062224,0.014168,0.116843,0.070013,0.045443,0.002000,28404324
48501,0.002000, 0.177471, 0.100630, 0.061171,0.068127,0.072045,0.063760,0.019077,0.068819,0.102585,0.072332,0.009128,0.030984,0.132116,0.101527,0.029012,28388153
49001,0.167545, 0.083784, 0.135095, 0.076360,0.088182,0.062969,0.068362,0.027407,0.089208,0.069298,0.062102,0.013851,0.136551,0.094060,0.151709,0.026787,28456582
49501,0.098362, 0.084835, 0.048465, 0.002000,0.065331,0.050189,0.060828,0.011118,0.088966,0.052831,0.060261,0.006279,0.049238,0.060004,0.044470,0.002000,28445431
50001,0.186983, 0.073955, 0.063644, 0.002000,0.095991,0.066382,0.083618,0.027522,0.092287,0.083632,0.098032,0.014378,0.141095,0.108636,0.067886,0.007557,28487982
50501,0.061213, 0.002000, 0.002000, 0.033346,0.058641,0.043689,0.073603,0.017510,0.074874,0.039987,0.069988,0.010118,0.052586,0.010930,0.043102,0.012449,28427577
51001,0.078075, 0.070888, 0.033519, 0.084297,0.066239,0.071054,0.071755,0.021347,0.076945,0.081242,0.090950,0.010455,0.100775,0.048223,0.055037,0.052249,28435417
51501,0.008623, 0.002000, 0.158995, 0.002000,0.050622,0.057750,0.066618,0.017406,0.060015,0.059769,0.061683,0.008164,0.092550,0.031744,0.065536,0.002000,28407037
52001,0.122373, 0.054689, 0.114565, 0.002000,0.069311,0.061484,0.080716,0.028734,0.092008,0.062904,0.099729,0.022428,0.074881,0.054594,0.108241,0.014125,28438146
52501,0.002000, 0.042950, 0.089656, 0.010777,0.082238,0.066589,0.071489,0.028375,0.081648,0.056364,0.072550,0.017434,0.109119,0.015650,0.094774,0.012838,28492800
53001,0.105248, 0.071449, 0.073143, 0.002000,0.048748,0.078503,0.075085,0.023416,0.052963,0.071438,0.081522,0.011347,0.086267,0.052488,0.074790,0.002000,28427098
53501,0.054203, 0.002000, 0.002000, 0.068335,0.059726,0.054572,0.046631,0.020209,0.077542,0.050121,0.050667,0.008703,0.136879,0.021718,0.018780,0.024112,28404041
54001,0.266354, 0.083049, 0.101780, 0.002000,0.093890,0.066018,0.058859,0.039516,0.131794,0.079535,0.090581,0.016837,0.152645,0.034807,0.117156,0.051517,28398223
54501,0.132671, 0.007022, 0.002000, 0.021946,0.067921,0.070496,0.064515,0.024792,0.059759,0.068169,0.047862,0.011602,0.047371,0.085621,0.003512,0.025759,28444458
55001,0.002000, 0.002000, 0.082501, 0.002000,0.092042,0.108499,0.054136,0.025756,0.100317,0.111949,0.057351,0.013614,0.002000,0.002000,0.085472,0.005993,28378433
55501,0.167661, 0.023918, 0.067722, 0.002000,0.081259,0.073792,0.040217,0.017609,0.083514,0.077589,0.038906,0.010094,0.173077,0.092805,0.023907,0.002000,28449187
56001,0.379118, 0.002000, 0.181217, 0.005213,0.095117,0.058055,0.071480,0.019903,0.161912,0.046648,0.082484,0.013691,0.224372,0.002000,0.109466,0.011896,28412931
56501,0.063748, 0.141832, 0.246545, 0.002000,0.046726,0.072825,0.080420,0.022825,0.059530,0.110937,0.101553,0.009190,0.079344,0.122066,0.118712,0.002000,28414789
57001,0.079780, 0.056936, 0.160824, 0.057103,0.064893,0.064482,0.052052,0.024594,0.058774,0.088851,0.061324,0.011796,0.094758,0.070630,0.100043,0.023868,28383875
57501,0.002000, 0.086901, 0.037081, 0.087152,0.073100,0.056249,0.067250,0.030335,0.097477,0.053340,0.073122,0.015843,0.122778,0.046733,0.024217,0.030300,28498843
58001,0.117575, 0.090477, 0.074461, 0.002000,0.088953,0.063278,0.064292,0.022640,0.099564,0.069024,0.087431,0.009320,0.123816,0.101232,0.062215,0.031537,28521639
58501,0.002000, 0.008522, 0.003760, 0.002000,0.065015,0.071632,0.099197,0.032007,0.107525,0.084409,0.102744,0.013996,0.094377,0.073965,0.113635,0.002835,28446037
59001,0.152845, 0.067745, 0.062099, 0.002000,0.049265,0.059357,0.050893,0.024595,0.043417,0.063857,0.050657,0.012159,0.075892,0.052435,0.068349,0.001711,28468008
59501,0.177241, 0.137227, 0.058190, 0.002000,0.063109,0.052654,0.059731,0.018200,0.155215,0.052906,0.073709,0.008227,0.185187,0.065871,0.075651,0.002000,28475266
60001,0.002000, 0.002000, 0.002000, 0.002000,0.066788,0.098806,0.070090,0.024497,0.067605,0.119050,0.080285,0.011804,0.085433,0.144288,0.002275,0.002000,28422082
60501,0.154303, 0.002000, 0.147727, 0.002000,0.071300,0.062853,0.064448,0.021165,0.118601,0.052893,0.079641,0.008675,0.134740,0.002000,0.151931,0.002000,28496589
61001,0.002000, 0.119967, 0.151913, 0.002000,0.096040,0.070683,0.099112,0.024335,0.101210,0.103842,0.095163,0.011663,0.042089,0.165284,0.072874,0.008786,28443162
61501,0.002000, 0.002000, 0.047456, 0.004935,0.076016,0.078089,0.095538,0.022840,0.067671,0.089407,0.112098,0.011060,0.030431,0.050483,0.088842,0.002978,28445386
62001,0.002000, 0.002000, 0.012150, 0.002000,0.057469,0.070605,0.074448,0.020290,0.070070,0.081656,0.095793,0.009873,0.074930,0.100346,0.051801,0.002000,28447139
62501,0.231121, 0.133558, 0.115432, 0.002000,0.095360,0.063742,0.076934,0.030971,0.116887,0.099381,0.093374,0.016658,0.139999,0.055706,0.043189,0.002000,28451539
63001,0.122183, 0.023128, 0.034269, 0.002000,0.090962,0.077479,0.060881,0.024012,0.133336,0.075809,0.061098,0.012727,0.092100,0.051603,0.050195,0.009317,28393027
63501,0.002000, 0.181435, 0.002000, 0.002000,0.090577,0.060691,0.068107,0.019808,0.139211,0.077368,0.078476,0.008328,0.089408,0.086502,0.073375,0.002000,28356337
64001,0.098341, 0.064122, 0.096642, 0.002000,0.060624,0.061033,0.050484,0.040582,0.095221,0.054706,0.070130,0.028483,0.082951,0.045655,0.047507,0.007437,28467381
64501,0.216862, 0.062717, 0.089973, 0.002000,0.076318,0.090692,0.053826,0.020209,0.060737,0.124985,0.061649,0.010078,0.073621,0.101748,0.051047,0.003866,28493298
65001,0.004623, 0.041232, 0.062961, 0.002000,0.071754,0.072651,0.079883,0.034093,0.078979,0.079226,0.079735,0.023375,0.030750,0.086883,0.118669,0.002000,28485249
65501,0.047658, 0.002000, 0.002000, 0.002000,0.055846,0.048742,0.048334,0.023766,0.068312,0.043299,0.046471,0.010981,0.043852,0.031592,0.052566,0.002000,28529206
66001,0.239569, 0.002000, 0.045596, 0.002000,0.077255,0.069118,0.081463,0.030480,0.198838,0.070127,0.084167,0.021478,0.265563,0.131883,0.078997,0.002000,28417953
66501,0.002000, 0.031045, 0.002000, 0.086193,0.060509,0.063990,0.057114,0.016930,0.084621,0.072623,0.050832,0.007557,0.035271,0.042191,0.029581,0.030064,28556697
67001,0.087711, 0.019700, 0.177062, 0.002000,0.061767,0.047127,0.060464,0.020975,0.090177,0.053139,0.071096,0.014396,0.092649,0.077858,0.085022,0.017574,28397269
67501,0.050593, 0.002000, 0.002841, 0.097408,0.075229,0.070897,0.050645,0.026106,0.096616,0.076172,0.054547,0.015560,0.100764,0.024301,0.019158,0.033803,28405338
68001,0.034308, 0.078257, 0.002000, 0.012986,0.071658,0.058312,0.076012,0.013922,0.091923,0.071900,0.080437,0.007424,0.047862,0.041112,0.060786,0.005662,28416701
68501,0.074920, 0.108269, 0.102658, 0.002000,0.072994,0.073449,0.048031,0.020471,0.107511,0.083839,0.051672,0.008952,0.127258,0.085748,0.079482,0.008248,28493820
69001,0.168561, 0.002000, 0.034557, 0.024647,0.077481,0.063512,0.063347,0.022965,0.078237,0.047756,0.085235,0.011181,0.087877,0.001701,0.095476,0.009549,28418867
69501,0.055402, 0.113816, 0.095872, 0.039296,0.089971,0.049595,0.065717,0.020637,0.128178,0.062294,0.071544,0.010759,0.063342,0.054732,0.058616,0.014432,28427238
70001,0.148454, 0.003110, 0.002000, 0.002000,0.074054,0.070292,0.078626,0.029618,0.116837,0.057327,0.066954,0.014760,0.109775,0.021473,0.017004,0.002000,28438929
70501,0.041163, 0.090676, 0.134096, 0.002000,0.054072,0.086270,0.078789,0.019820,0.050947,0.088777,0.118561,0.012238,0.092179,0.071880,0.104597,0.002000,28402570
71001,0.140229, 0.097602, 0.180322, 0.002000,0.072600,0.060954,0.072413,0.028687,0.109006,0.056949,0.120776,0.014540,0.144209,0.070065,0.144115,0.006687,28435409
71501,0.134311, 0.074780, 0.002000, 0.002000,0.082682,0.091118,0.057483,0.029220,0.110328,0.095816,0.052178,0.015432,0.096900,0.120505,0.021098,0.003324,28474717
72001,0.109530, 0.026470, 0.038106, 0.002000,0.079146,0.065406,0.064642,0.018169,0.109361,0.080586,0.057588,0.007744,0.069886,0.075602,0.047125,0.002000,28476569
72501,0.184021, 0.002000, 0.108744, 0.002000,0.077298,0.071527,0.057378,0.013814,0.143898,0.081300,0.051035,0.008767,0.150618,0.034470,0.088704,0.002008,28458846
73001,0.079683, 0.096556, 0.168359, 0.004850,0.081653,0.085689,0.080688,0.020301,0.092862,0.093972,0.080603,0.009637,0.158444,0.091526,0.090040,0.003364,28509208
73501,0.111683, 0.070773, 0.126117, 0.002000,0.082069,0.078583,0.067339,0.019381,0.089233,0.116097,0.082854,0.008608,0.148406,0.164946,0.162810,0.002000,28439148
74001,0.120934, 0.147814, 0.160629, 0.002000,0.086826,0.074979,0.064253,0.032011,0.158997,0.095172,0.081991,0.016561,0.112112,0.122240,0.107068,0.008055,28423393
74501,0.105099, 0.111507, 0.127592, 0.002000,0.080536,0.062532,0.064709,0.028014,0.081633,0.055180,0.086307,0.018867,0.050151,0.040723,0.168038,0.019024,28491398
75001,0.191163, 0.111093, 0.002000, 0.002000,0.095750,0.049269,0.088309,0.025337,0.125717,0.061797,0.072091,0.013347,0.093861,0.104787,0.002000,0.008475,28434761
75501,0.066255, 0.030254, 0.016912, 0.010129,0.060609,0.057255,0.065241,0.024634,0.067779,0.067542,0.094013,0.014478,0.062003,0.062502,0.076603,0.004710,28429770
76001,0.030879, 0.187981, 0.290287, 0.019431,0.079768,0.076089,0.066062,0.020048,0.110531,0.065624,0.130752,0.008754,0.043575,0.134000,0.185971,0.007810,28416162
76501,0.077262, 0.086076, 0.170616, 0.017079,0.064788,0.080788,0.064014,0.023916,0.075471,0.073252,0.064915,0.011072,0.087223,0.130745,0.058205,0.007026,28435383
