Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
0,0.024051, 0.008459, 0.015477, 0.011242,0.985558, 0.993040, 0.914119, 0.960462,0.530989,0.521262,0.471168,0.513503
25,0.501824, 0.003714, 0.115888, 0.002000,0.555217, 0.101629, 0.123370, 0.092050,0.333038,0.125799,0.106200,0.024007
50,0.122963, 0.002000, 0.054601, 0.002000,0.316511, 0.068680, 0.121135, 0.060096,0.309846,0.085246,0.051281,0.015660
75,0.304661, 0.076154, 0.038493, 0.003841,0.330260, 0.121949, 0.096833, 0.103887,0.306856,0.064872,0.051146,0.011305
100,0.342692, 0.053307, 0.035903, 0.004344,0.268045, 0.144335, 0.017896, 0.102742,0.293856,0.050231,0.044141,0.008987
125,0.345543, 0.024757, 0.002000, 0.007181,0.064608, 0.160707, 0.197696, 0.099778,0.257601,0.056211,0.051226,0.012915
150,0.242781, 0.044876, 0.033353, 0.003104,0.026509, 0.141779, 0.039100, 0.085432,0.212829,0.055030,0.042869,0.012271
175,0.199789, 0.032993, 0.032456, 0.003018,0.208523, 0.002000, 0.002000, 0.128777,0.183946,0.044817,0.038833,0.012181
200,0.178704, 0.046942, 0.031288, 0.002908,0.039098, 0.140996, 0.072000, 0.086600,0.154673,0.051185,0.044353,0.016351
225,0.151396, 0.043536, 0.035796, 0.002982,0.015055, 0.110523, 0.069591, 0.029843,0.137486,0.038823,0.035642,0.010702
250,0.121930, 0.047373, 0.037179, 0.003200,0.164483, 0.076174, 0.099155, 0.086983,0.145743,0.033715,0.037989,0.012909
275,0.150078, 0.042400, 0.015321, 0.002301,0.002000, 0.102794, 0.089743, 0.089117,0.123252,0.036452,0.030160,0.009153
300,0.128147, 0.032462, 0.029881, 0.002745,0.204257, 0.058509, 0.030489, 0.100928,0.129617,0.032217,0.036985,0.009813
325,0.116862, 0.036872, 0.026338, 0.003880,0.076519, 0.123125, 0.067939, 0.099697,0.118689,0.041996,0.031389,0.012764
350,0.118603, 0.033152, 0.027022, 0.002877,0.115716, 0.002000, 0.083987, 0.076105,0.124357,0.034734,0.030844,0.005475
375,0.091497, 0.028092, 0.034156, 0.002477,0.207679, 0.057832, 0.122327, 0.081486,0.125711,0.032529,0.033530,0.010958
400,0.112992, 0.029214, 0.032427, 0.002489,0.131868, 0.127932, 0.133596, 0.082667,0.124989,0.039339,0.035376,0.009404
425,0.113504, 0.029978, 0.027721, 0.002439,0.109188, 0.002000, 0.051938, 0.095608,0.108911,0.034337,0.029928,0.009514
450,0.102520, 0.027437, 0.026607, 0.002418,0.228866, 0.075216, 0.097042, 0.115053,0.108565,0.032254,0.030698,0.008939
475,0.019284, 0.002000, 0.016580, 0.002000,0.115551, 0.093688, 0.087762, 0.099655,0.104898,0.038405,0.035121,0.012831
500,0.107546, 0.034715, 0.032355, 0.002430,0.048894, 0.042303, 0.122938, 0.090660,0.110496,0.036581,0.042484,0.009215
525,0.118815, 0.022045, 0.024794, 0.002287,0.173989, 0.066955, 0.089307, 0.042053,0.110801,0.039568,0.036950,0.006499
550,0.041755, 0.047167, 0.015461, 0.009769,0.049864, 0.120852, 0.074917, 0.062605,0.103293,0.034873,0.035842,0.008787
575,0.101253, 0.024246, 0.034145, 0.002403,0.008973, 0.121124, 0.002000, 0.094406,0.092529,0.027556,0.028612,0.005806
600,0.067097, 0.027094, 0.022492, 0.002398,0.030815, 0.024654, 0.002000, 0.081661,0.070651,0.029316,0.024632,0.009800
625,0.064977, 0.024374, 0.019002, 0.002361,0.212563, 0.111726, 0.002000, 0.034163,0.079735,0.032202,0.024489,0.005121
650,0.075449, 0.023690, 0.024202, 0.002331,0.072284, 0.002000, 0.046608, 0.074860,0.071776,0.024814,0.032850,0.008060
675,0.072076, 0.028292, 0.018199, 0.002744,0.093840, 0.035737, 0.002000, 0.146025,0.080990,0.029613,0.019794,0.007491
700,0.002000, 0.038849, 0.002000, 0.002000,0.081464, 0.116395, 0.002000, 0.100114,0.081403,0.035992,0.019921,0.007196
725,0.084624, 0.030498, 0.016846, 0.002596,0.143564, 0.028304, 0.119014, 0.057899,0.084038,0.038107,0.023825,0.006143
750,0.095913, 0.031941, 0.016738, 0.002536,0.157579, 0.002000, 0.002000, 0.054724,0.087163,0.033214,0.023563,0.004764
775,0.091624, 0.032779, 0.024426, 0.002447,0.185501, 0.074543, 0.005106, 0.086607,0.095123,0.031765,0.024290,0.006743
800,0.016323, 0.050661, 0.007909, 0.002000,0.026110, 0.181572, 0.092768, 0.068421,0.091324,0.036687,0.029951,0.012753
825,0.094952, 0.027059, 0.020656, 0.002451,0.157531, 0.002000, 0.042833, 0.096884,0.092241,0.029869,0.029684,0.006013
850,0.120641, 0.034486, 0.042250, 0.002249,0.346431, 0.099705, 0.183688, 0.099132,0.094162,0.037283,0.032118,0.010091
875,0.024436, 0.022929, 0.017603, 0.005366,0.002000, 0.106007, 0.029839, 0.095614,0.079182,0.032076,0.028050,0.006392
900,0.079250, 0.028793, 0.022624, 0.002572,0.229834, 0.023184, 0.088825, 0.062658,0.083527,0.033906,0.026879,0.007743
925,0.072100, 0.027588, 0.028364, 0.002590,0.097527, 0.059080, 0.002000, 0.094897,0.082053,0.033062,0.033059,0.009024
