Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
0,0.024051, 0.008459, 0.015477, 0.011242,0.985558, 0.993040, 0.914119, 0.960462,0.530989,0.521262,0.471168,0.513503
25,0.164860, 0.018001, 0.012431, 0.008547,0.508880, 0.947644, 0.976033, 0.638294,0.418851,0.310107,0.261067,0.180034
50,0.704351, 0.155204, 0.003356, 0.002000,0.606849, 0.993064, 0.973038, 0.992449,0.526425,0.259807,0.149579,0.172105
75,0.145267, 0.008016, 0.009076, 0.014431,0.281937, 0.985986, 0.503631, 0.873690,0.547503,0.284298,0.210434,0.188744
100,0.962360, 0.011480, 0.018604, 0.033130,0.093511, 0.969660, 0.459142, 0.920386,0.558693,0.253369,0.185865,0.161663
125,0.992753, 0.227277, 0.007041, 0.059140,0.009160, 0.990171, 0.947394, 0.190396,0.610606,0.228454,0.218549,0.138388
150,0.984890, 0.034303, 0.027770, 0.018602,0.089865, 0.989288, 0.926106, 0.987030,0.569113,0.243743,0.184193,0.199037
175,0.964808, 0.017594, 0.010563, 0.007536,0.828472, 0.897696, 0.922101, 0.986520,0.546402,0.275660,0.132297,0.189842
200,0.964808, 0.017594, 0.010563, 0.007536,0.615622, 0.974792, 0.976598, 0.992415,0.595124,0.215703,0.178280,0.193171
225,0.940176, 0.242559, 0.018982, 0.015487,0.270563, 0.966541, 0.868632, 0.978846,0.544576,0.204593,0.155001,0.174596
250,0.913728, 0.153065, 0.025664, 0.016135,0.239644, 0.984431, 0.889904, 0.991322,0.522803,0.232073,0.139366,0.164912
275,0.964808, 0.017594, 0.010563, 0.007536,0.045676, 0.976589, 0.993284, 0.464629,0.548454,0.191214,0.188704,0.156981
300,0.907188, 0.026768, 0.007201, 0.007289,0.966694, 0.990042, 0.055821, 0.750957,0.549534,0.228705,0.163395,0.161230
325,0.986255, 0.074124, 0.019031, 0.007915,0.832072, 0.990437, 0.878525, 0.989595,0.631594,0.230099,0.155682,0.170598
350,0.975617, 0.077958, 0.007852, 0.017291,0.232518, 0.971913, 0.785082, 0.979427,0.630152,0.222439,0.184665,0.190428
375,0.990272, 0.079570, 0.002000, 0.025231,0.077360, 0.992622, 0.571270, 0.827009,0.607072,0.152060,0.182584,0.148678
400,0.993191, 0.018110, 0.010202, 0.011976,0.010682, 0.978941, 0.993180, 0.959210,0.698182,0.214143,0.210030,0.181361
425,0.988373, 0.009749, 0.019097, 0.058039,0.839353, 0.990512, 0.975322, 0.980598,0.722095,0.241417,0.157333,0.192384
450,0.969023, 0.139528, 0.016401, 0.010854,0.227324, 0.969622, 0.992837, 0.859735,0.744988,0.244762,0.198114,0.179371
475,0.981700, 0.007522, 0.019480, 0.008911,0.173956, 0.985860, 0.836092, 0.815537,0.743303,0.209646,0.178846,0.145818
500,1.156621, 0.002000, 0.002000, 0.002000,0.014194, 0.936706, 0.932009, 0.794117,0.749535,0.206286,0.141743,0.152659
525,0.983853, 0.179485, 0.011316, 0.012657,0.513948, 0.992730, 0.146657, 0.796258,0.780281,0.200566,0.194976,0.180092
550,0.983853, 0.179485, 0.011316, 0.012657,0.021547, 0.986398, 0.856028, 0.991724,0.771220,0.264876,0.202490,0.207474
575,0.993191, 0.018110, 0.010202, 0.011976,0.323040, 0.949315, 0.663738, 0.971515,0.784798,0.231325,0.174772,0.149729
